Time,B,C,D
1,21,-22.01,141.33
2,24,-18.88,164.99
3,9,-15.99,45.01
4,10,-12.87,53.26
5,35,-9.97,253.34
6,27,-6.98,189.33
7,6,-3.91,21.27
8,38,-0.67,277.02
9,26,2.12,181.1
10,3,5.2,-2.69
11,33,8.08,237.19
12,30,11.19,213.04
13,10,14.17,53.11
14,27,17.08,188.98
15,7,20.09,29.36
16,37,23.03,268.99
17,6,26.22,21.1
18,24,29.37,165.18
19,13,32.17,77.21
20,35,35.26,252.98
21,15,38.11,93.31
22,13,41.02,77.25
23,39,44.12,285.33
24,5,47.05,13.02
25,39,50.13,285.23
26,5,53.37,13.17
27,25,56.13,173.23
28,2,59.15,-10.75
29,9,62.23,45.16
30,34,65.07,245.07
31,16,68.06,101.2
32,25,71.02,173.13
33,0,74.32,-27.02
34,15,77.09,93.19
35,19,80.04,125.04
36,36,83.19,261.36
37,32,86.01,229.09
38,25,89.22,173.12
39,16,92.17,101.25
40,35,95.26,253.33
41,20,98.01,133.18
42,9,101.13,45.32
43,25,104.18,173.25
44,33,107.34,237.36
45,16,110.33,101.01
46,9,113,45.03
47,39,116.3,285.03
48,36,119.09,261.32
49,33,122.08,237.05
50,22,125.1,149.17
51,38,128.05,277.34
52,13,131.37,77.02
53,17,134.37,109.32
54,22,137.35,149.05
55,31,140.12,220.98
56,28,143.13,197.02
57,7,146.19,29.13
58,1,149.22,-18.75
59,7,152.22,29.16
60,11,155.17,61.09
61,4,158.03,5.34
62,35,161.16,253.16
63,22,164.08,149.13
64,35,167.15,253.05
65,26,170.18,181.03
66,36,173.13,261.37
67,3,176.28,-2.89
68,19,179.16,125.36
69,2,182.14,-10.9
70,12,185.22,69.35
71,25,188.34,173.06
72,30,191.07,213.34
73,36,195,261.34
74,24,197.27,165.03
75,21,200.01,141.17
76,16,203,101.24
77,15,206.35,93.34
78,5,209.22,13.07
79,32,212.02,229.34
80,8,215.33,37.32
81,22,218.14,149.04
82,10,221.02,52.99
83,6,224.07,21.21
84,18,227.32,117.29
85,15,230.03,93.27
86,12,233.16,68.99
87,34,236.21,245.31
88,1,239.29,-18.69
89,35,242.18,253.09
90,17,245.23,109.21
91,0,248.35,-26.91
92,7,251.15,29.12
93,33,254.16,237
94,4,257.11,4.99
95,12,260.16,69.34
96,39,263.37,285.12
97,2,266.32,-10.92
98,29,269.11,205.28
99,6,272.34,21.34
100,12,275.31,69.18
