A,B,C,D,E,F
22,99.25,18,234.4,23.2337,47.6361
16,63.19,35,455.56,-19,-32.909
27,129.43,5,65.37,-21.3376,-41.8773
30,146.98,39,507.22,-14.5443,-26.2386
22,99.06,5,65.41,41.7328,57.4402
14,51.2,37,481.55,29.9634,58.8064
17,69.31,1,13.43,33.841,48.3299
32,159.32,17,221.02,-7.01395,-14.3807
3,-14.97,25,324.98,-25.9988,-16.8838
20,87.08,26,338.32,44.3524,52.857
21,93.41,29,377.08,-16.1783,-7.89067
35,177.39,35,455.32,-2.03369,-4.56773
28,135.31,32,416,-47.1442,-28.3271
3,-14.57,11,143.29,-28.643,-4.5366
31,153.47,18,234.36,-33.9367,-61.2234
4,-8.95,6,78.05,-29.6817,-18.5472
14,51.38,13,169.32,19.7466,18.4139
19,81.16,14,182.01,-14.3078,-22.8973
35,177.3,16,208.56,13.9467,1.22018
32,159.16,1,13.07,-10.7596,-2.28703
2,-20.44,26,338.36,44.1732,8.5864
36,183.07,11,143.32,7.98103,15.0101
34,171.06,16,208.47,-63.1161,-19.2965
39,201.09,16,208.01,-78.7846,-13.8918
11,33.49,31,403.41,12.9505,1.13302
35,177.05,30,390.42,8.01906,4.08591
11,33.44,26,338.04,15.0231,28.2543
0,-32.88,28,364.1,35.0773,8.09823
23,105,3,38.99,35.9473,84.6864
23,105.52,10,130.23,38.0001,65.8179
20,87.19,13,169.26,49.8097,4.35778
27,129.49,24,312.39,91.1502,33.1759
27,129.34,3,39.52,32.2162,79.7378
3,-14.72,31,403.38,34.3413,25.878
19,81.16,28,364.33,29.9336,21.748
32,158.99,14,182.39,39.8583,24.9062
33,165.12,0,0.29,-73.5403,-61.7076
17,69.11,7,91.1,25.3717,9.23454
38,195.2,38,494.41,14.4333,16.6036
34,171.12,23,299.35,38.5162,51.1126
14,51.11,9,117.11,-75.362,-52.769
12,39.53,38,494.14,13.1557,4.78828
9,21.51,35,455.03,15.429,9.27068
33,165.53,21,273.09,-26.7599,-50.328
37,189.52,31,403.26,-18.4101,-7.81462
39,201.14,27,351.51,-79.4578,-55.6369
18,75.49,14,182.21,46.633,74.6282
33,165.09,20,260.11,28.679,24.9302
39,201.46,12,156.23,22.5772,58.8155
28,135.49,21,272.97,-31.808,-87.3914
37,189.54,8,104.05,-45.432,-18.3557
1,-26.87,10,130.42,19.2947,67.2883
28,135.54,22,286.34,-48.4136,-80.5737
31,153.54,17,221.44,78.5649,34.9793
28,135.38,26,338.03,7.75697,13.9939
37,189.31,2,26.47,26.2424,30.1884
14,51.49,35,455.52,13.8451,17.0972
16,63.33,8,104.07,0,0
21,93.44,26,338.39,35.9473,84.6864
12,39.25,4,52.47,-38.8573,-31.466
18,75.45,14,182.03,44.9952,53.6231
12,39.48,23,299.11,-41.8773,-21.3375
25,117.12,20,260.1,-43.4939,-14.9761
11,33.34,24,312.21,2.97258,2.67652
3,-14.91,5,65.5,34.4683,6.07768
26,123.5,14,182.56,-57.8683,-37.5801
21,93.27,26,337.98,4.38559,14.3446
17,69.11,29,377.17,14.5623,10.5801
22,98.98,36,468.44,-2.82843,-2.82843
1,-26.66,36,468.3,-2.63135,-8.60674
9,21.4,0,0.36,63.4259,68.0159
9,21.36,30,390.36,68.4761,22.2492
37,189.05,31,403.46,-29.3709,-60.2192
30,147.28,34,442.31,24.2705,17.6335
14,51,10,129.98,24.863,2.61321
35,176.97,36,467.99,22.6024,78.8234
22,99.53,22,286.13,-5.7339,-14.9373
37,189.53,1,13.22,-20.2254,-14.6946
17,69.09,10,130.17,-2.93444,-0.623735
21,93.56,12,156.2,10.7979,20.3078
33,165.35,6,78.52,40.8954,13.2877
22,99.28,17,221.07,-63.9086,-66.1792
21,93.4,18,234.4,51.3203,44.612
38,195.07,36,468.2,76.9752,17.7711
18,75.29,4,52.1,-57.2879,-61.4337
10,27.5,4,52.26,34.9716,28.3194
16,63.2,20,260.34,-92.2811,-26.4612
15,57.28,38,494.18,70.7203,57.2681
13,45.12,1,12.99,37.9245,45.1966
27,129.11,21,273.18,-30.211,-36.0041
3,-14.86,23,299.25,-15.4512,-25.715
7,9.5,37,481,-65.7488,-5.75227
16,63.39,10,130.21,-28.2567,-6.52358
24,111.01,35,455.46,24.8639,7.60166
9,21.05,16,208.06,-26.41,-5.61361
3,-14.58,3,39,-30.8145,-14.369
22,99.42,1,13.49,-11.1145,-11.5094
12,39.18,1,13.1,44.2973,35.8712
24,111.26,35,455.35,36.1354,51.6066
36,183.26,10,130.55,-67.0854,-50.5524
17,69.27,9,117.19,47.128,21.9761
24,110.98,34,442.3,-38.2917,-90.2094
9,21.16,38,494.21,-22.7168,-3.59799
37,189.4,33,429.35,-1.82709,-0.813473
